ANIO,MES,DPTO_HECHO_NEW,PROV_HECHO,DIST_HECHO,UBIGEO_HECHO,P_MODALIDADES,cantidad,UBIGEO,DISTRITO,POBLACION_TOTAL,FUENTE_POBLACION,PORC_NBI,FUENTE_NBI
2018,1,LIMA METROPOLITANA,LIMA,LIMA,150101,Otros,709,150101,Lima,314869,"INEI, Censos Nacionales 2025",10.6,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,LIMA,150101,Robo,323,150101,Lima,314869,"INEI, Censos Nacionales 2025",10.6,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,LIMA,150101,Secuestro,1,150101,Lima,314869,"INEI, Censos Nacionales 2025",10.6,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,LIMA,150101,Violencia contra la mujer e integrantes,500,150101,Lima,314869,"INEI, Censos Nacionales 2025",10.6,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,LINCE,150116,Estafa,3,150116,Lince,72911,"INEI, Censos Nacionales 2025",5.4,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,LINCE,150116,Hurto,60,150116,Lince,72911,"INEI, Censos Nacionales 2025",5.4,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,LINCE,150116,Otros,36,150116,Lince,72911,"INEI, Censos Nacionales 2025",5.4,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,LINCE,150116,Robo,27,150116,Lince,72911,"INEI, Censos Nacionales 2025",5.4,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,LINCE,150116,Secuestro,1,150116,Lince,72911,"INEI, Censos Nacionales 2025",5.4,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,LINCE,150116,Violencia contra la mujer e integrantes,42,150116,Lince,72911,"INEI, Censos Nacionales 2025",5.4,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,LOS OLIVOS,150117,Estafa,11,150117,Los Olivos,362039,"INEI, Censos Nacionales 2025",9.0,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,LOS OLIVOS,150117,Extorsión,1,150117,Los Olivos,362039,"INEI, Censos Nacionales 2025",9.0,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,LOS OLIVOS,150117,Hurto,284,150117,Los Olivos,362039,"INEI, Censos Nacionales 2025",9.0,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,LOS OLIVOS,150117,Otros,613,150117,Los Olivos,362039,"INEI, Censos Nacionales 2025",9.0,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,LOS OLIVOS,150117,Robo,359,150117,Los Olivos,362039,"INEI, Censos Nacionales 2025",9.0,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,LOS OLIVOS,150117,Secuestro,3,150117,Los Olivos,362039,"INEI, Censos Nacionales 2025",9.0,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,LOS OLIVOS,150117,Violencia contra la mujer e integrantes,396,150117,Los Olivos,362039,"INEI, Censos Nacionales 2025",9.0,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,LURIGANCHO - CHOSICA,150118,Estafa,5,150118,Lurigancho,308451,"INEI, Censos Nacionales 2025",22.9,"INEI, Censos Nacionales 2017"
2018,1,LIMA METROPOLITANA,LIMA,LURIGANCHO - CHOSICA,150118,Extorsión,1,150118,Lurigancho,308451,"INEI, Censos Nacionales 2025",22.9,"INEI, Censos Nacionales 2017"
