UBIGEO,ANIO,DISTRITO,POBLACION_TOTAL,PORC_NBI,TOTAL_DELITOS,TASA_DELITOS_10K,Estafa,Extorsión,Hurto,Otros,Robo,Secuestro,Violencia contra la mujer e integrantes
150112,2026,Independencia,225078,18.7,5377,238.89,195,91,1103,2230,548,2,1208
150113,2018,Jesús María,105776,3.0,5065,478.84,159,9,2474,1247,712,12,452
150113,2019,Jesús María,105776,3.0,5002,472.89,159,5,1281,2427,590,4,536
150113,2020,Jesús María,105776,3.0,2571,243.06,164,10,740,1033,206,3,415
150113,2021,Jesús María,105776,3.0,3105,293.54,247,20,775,1281,273,6,503
150113,2022,Jesús María,105776,3.0,3908,369.46,331,132,1032,1270,519,5,619
150113,2023,Jesús María,105776,3.0,5028,475.34,425,130,1658,1497,784,3,531
150113,2024,Jesús María,105776,3.0,4764,450.39,309,80,1757,1643,429,5,541
150113,2025,Jesús María,105776,3.0,4260,402.74,364,66,1588,1516,182,1,543
150113,2026,Jesús María,105776,3.0,2270,214.6,154,28,884,754,92,2,356
150114,2018,La Molina,151360,2.8,2676,176.8,75,5,755,550,247,6,1038
150114,2019,La Molina,151360,2.8,2214,146.27,69,6,541,521,107,3,967
150114,2020,La Molina,151360,2.8,2063,136.3,90,5,454,480,83,3,948
150114,2021,La Molina,151360,2.8,2818,186.18,205,14,613,1072,145,2,767
150114,2022,La Molina,151360,2.8,3737,246.89,307,115,1058,1255,221,6,775
150114,2023,La Molina,151360,2.8,5188,342.76,359,135,1730,1569,464,9,922
150114,2024,La Molina,151360,2.8,5246,346.59,344,86,1957,1586,345,5,923
150114,2025,La Molina,151360,2.8,5102,337.08,374,149,1666,1891,197,10,815
150114,2026,La Molina,151360,2.8,2748,181.55,206,64,854,1102,104,13,405
150115,2018,La Victoria,192325,15.3,9985,519.17,167,35,3400,3032,1793,8,1550
150115,2019,La Victoria,192325,15.3,9212,478.98,167,38,2740,2727,1309,15,2216
150115,2020,La Victoria,192325,15.3,6912,359.39,180,47,2137,2083,797,15,1653
150115,2021,La Victoria,192325,15.3,7608,395.58,239,46,2799,2207,660,10,1647
150115,2022,La Victoria,192325,15.3,7989,415.39,292,281,2725,2371,1003,8,1309
150115,2023,La Victoria,192325,15.3,10652,553.85,311,265,3905,2034,2867,12,1258
150115,2024,La Victoria,192325,15.3,10998,571.84,393,199,4215,2516,2315,6,1354
150115,2025,La Victoria,192325,15.3,8883,461.87,441,212,3597,2249,1126,7,1251
150115,2026,La Victoria,192325,15.3,5426,282.13,261,103,2265,1474,499,5,819
150116,2018,Lince,72911,5.4,2843,389.93,57,1,888,870,498,2,527
150116,2019,Lince,72911,5.4,3515,482.09,121,6,1194,1042,717,0,435
150116,2020,Lince,72911,5.4,2220,304.48,128,3,618,827,291,3,350
150116,2021,Lince,72911,5.4,2355,323.0,119,8,895,767,211,3,352
150116,2022,Lince,72911,5.4,2548,349.47,157,65,944,774,222,2,384
150116,2023,Lince,72911,5.4,3132,429.56,161,85,1079,861,583,3,360
150116,2024,Lince,72911,5.4,4375,600.05,224,48,1808,1286,646,3,360
150116,2025,Lince,72911,5.4,2903,398.16,207,39,1125,1014,200,2,316
150116,2026,Lince,72911,5.4,1470,201.62,108,10,559,529,84,2,178
150117,2018,Los Olivos,362039,9.0,15847,437.72,157,35,3277,4797,3549,24,4008
150117,2019,Los Olivos,362039,9.0,13169,363.75,207,46,2581,3794,2170,31,4340
150117,2020,Los Olivos,362039,9.0,10930,301.9,246,49,2119,3398,1411,11,3696
150117,2021,Los Olivos,362039,9.0,11557,319.22,413,104,2163,3829,1715,11,3322
150117,2022,Los Olivos,362039,9.0,13142,363.0,506,404,2442,3956,2376,26,3432
150117,2023,Los Olivos,362039,9.0,16817,464.51,570,554,3820,3911,4083,18,3861
150117,2024,Los Olivos,362039,9.0,15863,438.16,730,334,3636,4091,3092,19,3961
150117,2025,Los Olivos,362039,9.0,13105,361.98,607,458,2716,4013,1437,24,3850
150117,2026,Los Olivos,362039,9.0,6803,187.91,311,170,1634,1907,673,9,2099
150118,2018,Lurigancho,308451,22.9,5660,183.5,51,18,990,1795,628,5,2173
150118,2019,Lurigancho,308451,22.9,5767,186.97,57,17,937,2059,488,5,2204
150118,2020,Lurigancho,308451,22.9,3762,121.96,73,18,491,1700,228,6,1246
150118,2021,Lurigancho,308451,22.9,4136,134.09,86,6,607,1831,333,4,1269
150118,2022,Lurigancho,308451,22.9,5106,165.54,168,100,745,2428,473,9,1183
150118,2023,Lurigancho,308451,22.9,7555,244.93,240,256,1565,3122,1217,16,1139
150118,2024,Lurigancho,308451,22.9,7791,252.58,283,189,1638,3413,981,12,1275
150118,2025,Lurigancho,308451,22.9,7556,244.97,304,223,1389,3734,596,8,1302
150118,2026,Lurigancho,308451,22.9,3994,129.49,209,105,639,1961,232,6,842
150119,2018,Lurin,132149,21.7,2342,177.22,32,3,419,653,330,9,896
150119,2019,Lurin,132149,21.7,2734,206.89,93,11,427,919,330,3,951
150119,2020,Lurin,132149,21.7,2103,159.14,75,13,307,730,141,4,833
150119,2021,Lurin,132149,21.7,2363,178.81,93,20,438,805,197,9,801
150119,2022,Lurin,132149,21.7,3266,247.15,162,108,854,1067,334,4,737
150119,2023,Lurin,132149,21.7,3793,287.02,171,161,837,1175,626,10,813
150119,2024,Lurin,132149,21.7,3454,261.37,225,119,763,1179,455,7,706
150119,2025,Lurin,132149,21.7,2835,214.53,169,147,539,1074,225,5,676
150119,2026,Lurin,132149,21.7,1696,128.34,81,62,316,637,122,4,474
150120,2018,Magdalena del Mar,82146,3.5,2517,306.41,92,3,646,1043,329,5,399
150120,2019,Magdalena del Mar,82146,3.5,3373,410.61,94,6,601,1699,417,6,550
150120,2020,Magdalena del Mar,82146,3.5,2097,255.28,74,6,355,1065,140,3,454
150120,2021,Magdalena del Mar,82146,3.5,2337,284.49,168,16,556,910,167,4,516
150120,2022,Magdalena del Mar,82146,3.5,2369,288.39,141,71,670,696,228,4,559
150120,2023,Magdalena del Mar,82146,3.5,2251,274.02,146,76,720,493,274,3,539
150120,2024,Magdalena del Mar,82146,3.5,1929,234.83,197,33,526,633,152,0,388
150120,2025,Magdalena del Mar,82146,3.5,1657,201.71,207,39,405,571,43,0,392
150120,2026,Magdalena del Mar,82146,3.5,835,101.65,101,33,169,301,14,4,213
150121,2018,Pueblo Libre,99936,3.0,2975,297.69,65,2,951,536,759,5,657
150121,2019,Pueblo Libre,99936,3.0,3499,350.12,52,10,1147,759,782,1,748
150121,2020,Pueblo Libre,99936,3.0,1945,194.62,88,7,430,555,208,2,655
150121,2021,Pueblo Libre,99936,3.0,2060,206.13,119,16,494,678,246,5,502
150121,2022,Pueblo Libre,99936,3.0,2756,275.78,153,53,745,843,406,6,550
150121,2023,Pueblo Libre,99936,3.0,2819,282.08,157,57,694,887,551,4,469
150121,2024,Pueblo Libre,99936,3.0,2340,234.15,138,32,528,964,217,3,458
150121,2025,Pueblo Libre,99936,3.0,2949,295.09,219,46,769,1187,200,1,527
150121,2026,Pueblo Libre,99936,3.0,1835,183.62,136,17,528,774,83,3,294
